index,start_time,end_time,text,sentiment_score,cumulative_sentiment
1,00:03:07.470000,00:03:08.869000,"Lock onto him, R2.",0.0,0.0
2,00:03:08.972000,00:03:12.408000,"Master, General Grievous's ship is directly ahead...",0.0,0.0
3,00:03:12.508000,00:03:14.738000,"the one crawling
with vulture droids.",0.0,0.0
4,00:03:14.844000,00:03:17.369000,"Oh, I see it.
Oh, this is going to be easy.",0.0,0.0
5,00:03:25.021000,00:03:27.581000,"- Oddball, do you copy?
- Copy, Red Leader.",0.0,0.0
6,00:03:27.690000,00:03:29.988000,"Mark my position.
Form your squad up behind me.",0.0,0.0
7,00:03:30.093000,00:03:31.993000,"We're on your tail,
General Kenobi.",0.0,0.0
8,00:03:32.095000,00:03:33.995000,Set S-foils in attack position.,0.0,0.0
9,00:03:47.944000,00:03:49.935000,This is where the fun begins.,0.0,0.0
10,00:03:50.046000,00:03:52.071000,Let them pass between us.,0.0,0.0
11,00:04:08.831000,00:04:12.767000,They're all over me. Get them off my...,0.0,0.0
12,00:04:12.869000,00:04:14.769000,"- I'm gonna go help them out.
- No.",0.0,0.0
13,00:04:14.871000,00:04:17.567000,"No, they are doing their job
so we can do ours.",0.0,0.0
14,00:04:31.554000,00:04:34.114000,Missiles. Pull up.,0.0,0.0
15,00:04:35.558000,00:04:38.083000,"- They overshot us.
- They're coming around.",0.0,0.0
16,00:04:42.465000,00:04:45.298000,"All right, R4.",0.0,0.0
17,00:04:45.401000,00:04:47.926000,"No, no, no, no...
No, nothing too fancy.",0.0,0.0
18,00:04:51.207000,00:04:54.938000,"Surge all power units, R2.
Stand by reverse thrusters.",0.0,0.0
19,00:05:02.752000,00:05:06.279000,"We got 'em, R2.",0.0,0.0
20,00:05:14.630000,00:05:16.655000,Flying is for droids.,0.0,0.0
21,00:05:23.873000,00:05:27.673000,"- I'm hit. Anakin?
- I see them. Buzz droids.",0.0,0.0
22,00:05:35.284000,00:05:37.275000,"R4, be careful.
You have a...",0.0,0.0
23,00:05:39.589000,00:05:42.319000,"Oh, dear.",0.0,0.0
24,00:05:44.494000,00:05:46.325000,"They're shutting down
all the controls.",0.0,0.0
25,00:05:46.429000,00:05:49.455000,"- Move to the right so I can
get a clear shot at them.
- The mission.",0.0,0.0
26,00:05:49.565000,00:05:53.399000,"Get to the command ship. Get the chancellor.
I'm running out of tricks here.",0.0,0.0
27,00:05:56.305000,00:06:00.571000,Oh! In the name of...,0.0,0.0
28,00:06:02.912000,00:06:06.848000,"- Hold your fire! You're not helping here.
- I agree. Bad idea.",0.0,0.0
29,00:06:13.289000,00:06:16.019000,"I can't see a thing.
My cockpit's fogging.",0.0,0.0
30,00:06:19.328000,00:06:21.193000,"They're all over me.
Anakin!",0.0,0.0
31,00:06:24.267000,00:06:27.930000,"- Move to the right.
- Hold on, Anakin. You're gonna get us both killed.",0.0,0.0
32,00:06:30.473000,00:06:32.407000,"Get out of here.
There's nothing more you can do.",0.0,0.0
33,00:06:32.508000,00:06:34.669000,"I'm not leaving
without you, Master.",0.0,0.0
34,00:06:43.686000,00:06:46.519000,"Get him, R2.",0.0,0.0
35,00:06:46.622000,00:06:49.955000,Watch out.,0.0,0.0
36,00:06:54.564000,00:06:56.896000,"R2, hit the buzz droid's
center eye.",0.0,0.0
37,00:07:04.140000,00:07:06.438000,"- Yeah, you got him!
- Great, R2.",0.0,0.0
38,00:07:08.744000,00:07:10.644000,"The general's command ship
is dead ahead.",0.0,0.0
39,00:07:12.748000,00:07:14.807000,"Well, haveyou noticed
the shields are still up?",0.0,0.0
40,00:07:14.917000,00:07:16.908000,"Sorry, Master.",0.0,0.0
41,00:07:24.493000,00:07:26.552000,"Oh, I have a bad feeling
about this.",0.0,0.0
42,00:07:41.410000,00:07:43.537000,"There they are.
Get them.",0.0,0.0
43,00:07:52.955000,00:07:57.085000,"R2, locate the chancellor.",0.0,0.0
44,00:08:05.468000,00:08:08.164000,The chancellor's signal is coming from right there...,0.0,0.0
45,00:08:08.271000,00:08:11.331000,"the observation platform
at the top of that spire.",0.0,0.0
46,00:08:11.440000,00:08:13.374000,I sense Count Dooku.,0.0,0.0
